Age,Salary,CreditScore,Gender,SpendingScore,MembershipYears,PreviousPurchases,Purchased
56,96312,465,Female,19,14,14,0
46,118371,842,Female,66,11,9,1
32,95324,531,Male,60,4,37,1
60,91196,840,Female,66,10,14,1
25,90014,494,Male,15,0,29,0
38,28210,805,Male,85,11,45,1
56,30922,633,Female,35,8,25,0
36,56289,603,Female,69,2,44,1
40,149097,736,Male,27,1,13,0
28,53340,622,Male,88,9,2,0
28,59850,801,Male,7,5,35,0
41,76984,692,Male,6,7,25,0
53,123699,898,Female,33,1,13,0
57,133711,448,Female,58,3,30,0
41,104178,704,Male,49,1,13,0
20,31094,582,Male,17,11,39,0
39,107959,661,Female,42,11,9,0
19,53418,678,Male,94,8,8,0
41,25741,497,Female,72,9,45,1
61,131585,855,Male,40,12,39,1
47,92374,655,Female,46,14,42,1
55,137275,839,Male,71,1,41,1
19,142564,728,Male,70,9,17,1
38,88798,316,Male,68,1,35,0
50,136026,678,Female,1,13,35,1
29,90532,805,Female,79,12,11,1
39,130130,375,Male,95,4,49,1
61,42164,530,Male,89,11,39,1
42,55595,547,Male,97,4,2,0
44,50257,601,Male,52,11,17,0
59,34211,514,Female,35,6,6,0
45,115989,457,Female,69,0,30,1
33,25232,368,Female,5,11,0,0
32,87753,692,Male,17,1,30,0
64,72691,384,Male,53,10,12,0
61,109765,566,Female,52,10,28,1
20,99768,368,Male,14,5,2,0
54,45613,646,Female,29,1,28,0
24,34026,722,Female,8,3,34,0
38,73535,473,Female,98,9,14,1
26,114090,414,Female,1,5,20,0
56,50908,519,Male,29,12,18,0
35,72113,330,Female,36,11,27,1
21,39610,822,Male,51,6,3,0
42,66646,642,Female,37,9,44,1
31,125141,676,Female,93,4,12,1
26,83185,429,Female,69,7,14,0
43,92567,838,Female,53,5,47,1
19,67574,301,Male,96,4,38,1
37,143978,400,Male,52,3,31,1
45,145204,832,Male,88,5,2,1
64,111051,357,Male,83,5,29,1
24,122020,688,Female,12,5,19,0
61,56182,640,Male,52,0,1,0
25,136136,319,Male,1,5,49,1
64,20570,554,Female,7,0,24,0
52,117790,616,Male,17,4,10,0
31,39288,337,Male,98,6,0,0
34,98824,836,Male,43,0,47,1
53,49877,685,Male,71,12,48,1
57,104425,325,Female,17,0,47,1
21,20917,753,Female,59,12,9,0
19,95602,622,Male,3,12,16,0
23,115040,812,Female,29,14,29,1
59,84575,312,Male,22,5,34,0
21,92518,859,Male,38,14,49,1
46,142115,670,Male,54,6,18,1
35,59104,590,Female,93,5,45,1
43,38062,631,Female,50,4,33,0
61,36999,560,Female,69,5,31,0
51,81845,504,Female,30,12,11,0
27,29941,686,Female,23,13,42,1
53,81169,767,Female,85,2,16,0
31,43470,714,Male,90,8,5,0
48,149744,368,Female,47,14,12,1
32,130684,771,Male,21,4,38,1
25,79821,403,Male,20,1,21,0
